"Time","Snort-42121"
2025-06-02 08:29:45,0.0192
2025-06-02 08:30:00,0.0193
2025-06-02 08:30:15,0.0195
2025-06-02 08:30:30,0.0196
2025-06-02 08:30:45,0.0196
2025-06-02 08:31:00,0.0196
2025-06-02 08:31:15,0.0197
2025-06-02 08:31:30,0.0197
2025-06-02 08:31:45,0.0197
2025-06-02 08:32:00,0.0197
2025-06-02 08:32:15,0.0197
2025-06-02 08:32:30,0.0197
2025-06-02 08:32:45,0.0198
2025-06-02 08:33:00,0.0199
2025-06-02 08:33:15,0.0200
2025-06-02 08:33:30,0.0200
2025-06-02 08:33:45,0.0200
2025-06-02 08:34:00,0.0200
2025-06-02 08:34:15,0.0200
2025-06-02 08:34:30,0.0200
2025-06-02 08:34:45,0.0201
2025-06-02 08:35:00,0.0201
2025-06-02 08:35:15,0.0201
2025-06-02 08:35:30,0.0202
2025-06-02 08:35:45,0.0202
2025-06-02 08:36:00,0.0202
2025-06-02 08:36:15,0.0202
2025-06-02 08:36:30,0.0203
2025-06-02 08:36:45,0.0203
2025-06-02 08:37:00,0.0203
2025-06-02 08:37:15,0.0203
2025-06-02 08:37:30,0.0203
2025-06-02 08:37:45,0.0203
2025-06-02 08:38:00,0.0203
2025-06-02 08:38:15,0.0204
2025-06-02 08:38:30,0.0205
2025-06-02 08:38:45,0.0205
2025-06-02 08:39:00,0.0205
2025-06-02 08:39:15,0.0206
2025-06-02 08:39:30,0.0206
2025-06-02 08:39:45,0.0206
2025-06-02 08:40:00,0.0206
2025-06-02 08:40:15,0.0207
2025-06-02 08:40:30,0.0213
2025-06-02 08:40:45,0.0214
2025-06-02 08:41:00,0.0214
2025-06-02 08:41:15,0.0214
2025-06-02 08:41:30,0.0214
2025-06-02 08:41:45,0.0214
2025-06-02 08:42:00,0.0214
2025-06-02 08:42:15,0.0214
2025-06-02 08:42:30,0.0214
2025-06-02 08:42:45,0.0214
2025-06-02 08:43:00,0.0214
2025-06-02 08:43:15,0.0216
2025-06-02 08:43:30,0.0222
2025-06-02 08:43:45,0.0228
2025-06-02 08:44:00,0.0235
2025-06-02 08:44:15,0.0241
2025-06-02 08:44:30,0.0246
2025-06-02 08:44:45,0.0251
2025-06-02 08:45:00,0.0259
2025-06-02 08:45:15,0.0264
2025-06-02 08:45:30,0.0275
2025-06-02 08:45:45,0.0284
2025-06-02 08:46:00,0.0290
2025-06-02 08:46:15,0.0295
2025-06-02 08:46:30,0.0301
2025-06-02 08:46:45,0.0306
2025-06-02 08:47:00,0.0312
2025-06-02 08:47:15,0.0318
2025-06-02 08:47:30,0.0325
2025-06-02 08:47:45,0.0339
2025-06-02 08:48:00,0.0347
2025-06-02 08:48:15,0.0347
2025-06-02 08:48:30,0.0347
2025-06-02 08:48:45,0.0347
2025-06-02 08:49:00,0.0347
2025-06-02 08:49:15,0.0347
2025-06-02 08:49:30,0.0347
2025-06-02 08:49:45,0.0347
2025-06-02 08:50:00,0.0347
2025-06-02 08:50:15,0.0347
2025-06-02 08:50:30,0.0347
2025-06-02 08:50:45,0.0347
2025-06-02 08:51:00,0.0347
2025-06-02 08:51:15,0.0347
2025-06-02 08:51:30,0.0347
2025-06-02 08:51:45,0.0347
2025-06-02 08:52:00,0.0347
2025-06-02 08:52:15,0.0347
2025-06-02 08:52:30,0.0347
2025-06-02 08:52:45,0.0347
2025-06-02 08:53:00,0.0347
2025-06-02 08:53:15,0.0347
2025-06-02 08:53:30,0.0347
2025-06-02 08:53:45,0.0347
2025-06-02 08:54:00,0.0347
2025-06-02 08:54:15,0.0347
2025-06-02 08:54:30,0.0347
2025-06-02 08:54:45,0.0347
2025-06-02 08:55:00,0.0347
2025-06-02 08:55:15,0.0347
2025-06-02 08:55:30,0.0347
2025-06-02 08:55:45,0.0347
2025-06-02 08:56:00,0.0347
2025-06-02 08:56:15,0.0347
2025-06-02 08:56:30,0.0347
2025-06-02 08:56:45,0.0347
2025-06-02 08:57:00,0.0347
2025-06-02 08:57:15,0.0347
2025-06-02 08:57:30,0.0347
2025-06-02 08:57:45,0.0347
2025-06-02 08:58:00,0.0347
2025-06-02 08:58:15,0.0347
2025-06-02 08:58:30,0.0347
2025-06-02 08:58:45,0.0347
2025-06-02 08:59:00,0.0347
2025-06-02 08:59:15,0.0346
2025-06-02 08:59:30,0.0346
2025-06-02 08:59:45,0.0346
2025-06-02 09:00:00,0.0346
2025-06-02 09:00:15,0.0346
2025-06-02 09:00:30,0.0346
2025-06-02 09:00:45,0.0346
2025-06-02 09:01:00,0.0346
2025-06-02 09:01:15,0.0346
2025-06-02 09:01:30,0.0346
2025-06-02 09:01:45,0.0346
2025-06-02 09:02:00,0.0346
2025-06-02 09:02:15,0.0346
2025-06-02 09:02:30,0.0346
2025-06-02 09:02:45,0.0346
2025-06-02 09:03:00,0.0346
2025-06-02 09:03:15,0.0346
2025-06-02 09:03:30,0.0346
2025-06-02 09:03:45,0.0346
2025-06-02 09:04:00,0.0346
2025-06-02 09:04:15,0.0346
2025-06-02 09:04:30,0.0346
2025-06-02 09:04:45,0.0346
2025-06-02 09:05:00,0.0346
2025-06-02 09:05:15,0.0346
2025-06-02 09:05:30,0.0346
2025-06-02 09:05:45,0.0346
2025-06-02 09:06:00,0.0346
2025-06-02 09:06:15,0.0346
2025-06-02 09:06:30,0.0346
2025-06-02 09:06:45,0.0347
2025-06-02 09:07:00,0.0351
2025-06-02 09:07:15,0.0354
2025-06-02 09:07:30,0.0355
2025-06-02 09:07:45,0.0358
2025-06-02 09:08:00,0.0361
2025-06-02 09:08:15,0.0363
2025-06-02 09:08:30,0.0366
2025-06-02 09:08:45,0.0368
2025-06-02 09:09:00,0.0368
2025-06-02 09:09:15,0.0369
2025-06-02 09:09:30,0.0370
2025-06-02 09:09:45,0.0372
2025-06-02 09:10:00,0.0373
2025-06-02 09:10:15,0.0374
2025-06-02 09:10:30,0.0375
2025-06-02 09:10:45,0.0377
2025-06-02 09:11:00,0.0380
2025-06-02 09:11:15,0.0381
2025-06-02 09:11:30,0.0382
2025-06-02 09:11:45,0.0384
2025-06-02 09:12:00,0.0386
2025-06-02 09:12:15,0.0388
2025-06-02 09:12:30,0.0395
2025-06-02 09:12:45,0.0403
2025-06-02 09:13:00,0.0411
2025-06-02 09:13:15,0.0417
2025-06-02 09:13:30,0.0421
2025-06-02 09:13:45,0.0422
2025-06-02 09:14:00,0.0423
2025-06-02 09:14:15,0.0424
2025-06-02 09:14:30,0.0426
2025-06-02 09:14:45,0.0429
2025-06-02 09:15:00,0.0430
2025-06-02 09:15:15,0.0435
2025-06-02 09:15:30,0.0441
2025-06-02 09:15:45,0.0446
2025-06-02 09:16:00,0.0453
2025-06-02 09:16:15,0.0455
2025-06-02 09:16:30,0.0456
2025-06-02 09:16:45,0.0459
2025-06-02 09:17:00,0.0461
2025-06-02 09:17:15,0.0463
2025-06-02 09:17:30,0.0464
2025-06-02 09:17:45,0.0465
2025-06-02 09:18:00,0.0465
2025-06-02 09:18:15,0.0467
2025-06-02 09:18:30,0.0468
2025-06-02 09:18:45,0.0469
2025-06-02 09:19:00,0.0470
2025-06-02 09:19:15,0.0471
2025-06-02 09:19:30,0.0474
2025-06-02 09:19:45,0.0476
2025-06-02 09:20:00,0.0482
2025-06-02 09:20:15,0.0490
2025-06-02 09:20:30,0.0499
2025-06-02 09:20:45,0.0506
2025-06-02 09:21:00,0.0509
2025-06-02 09:21:15,0.0511
2025-06-02 09:21:30,0.0512
2025-06-02 09:21:45,0.0513
2025-06-02 09:22:00,0.0514
2025-06-02 09:22:15,0.0515
2025-06-02 09:22:30,0.0517
2025-06-02 09:22:45,0.0522
2025-06-02 09:23:00,0.0525
2025-06-02 09:23:15,0.0527
2025-06-02 09:23:30,0.0529
2025-06-02 09:23:45,0.0532
2025-06-02 09:24:00,0.0534
2025-06-02 09:24:15,0.0537
2025-06-02 09:24:30,0.0543
2025-06-02 09:24:45,0.0546
2025-06-02 09:25:00,0.0548
