"Time","Suricata-56027"
2025-05-30 15:40:00,0.466
2025-05-30 15:40:02,0.465
2025-05-30 15:40:04,0.465
2025-05-30 15:40:06,0.465
2025-05-30 15:40:08,0.465
2025-05-30 15:40:10,0.464
2025-05-30 15:40:12,0.464
2025-05-30 15:40:14,0.464
2025-05-30 15:40:16,0.464
2025-05-30 15:40:18,0.464
2025-05-30 15:40:20,0.464
2025-05-30 15:40:22,0.464
2025-05-30 15:40:24,0.464
2025-05-30 15:40:26,0.463
2025-05-30 15:40:28,0.463
2025-05-30 15:40:30,0.464
2025-05-30 15:40:32,0.463
2025-05-30 15:40:34,0.464
2025-05-30 15:40:36,0.463
2025-05-30 15:40:38,0.463
2025-05-30 15:40:40,0.463
2025-05-30 15:40:42,0.463
2025-05-30 15:40:44,0.463
2025-05-30 15:40:46,0.463
2025-05-30 15:40:48,0.463
2025-05-30 15:40:50,0.463
2025-05-30 15:40:52,0.463
2025-05-30 15:40:54,0.463
2025-05-30 15:40:56,0.462
2025-05-30 15:40:58,0.462
2025-05-30 15:41:00,0.462
2025-05-30 15:41:02,0.462
2025-05-30 15:41:04,0.462
2025-05-30 15:41:06,0.462
2025-05-30 15:41:08,0.462
2025-05-30 15:41:10,0.461
2025-05-30 15:41:12,0.461
2025-05-30 15:41:14,0.461
2025-05-30 15:41:16,0.460
2025-05-30 15:41:18,0.460
2025-05-30 15:41:20,0.459
2025-05-30 15:41:22,0.459
2025-05-30 15:41:24,0.459
2025-05-30 15:41:26,0.459
2025-05-30 15:41:28,0.458
2025-05-30 15:41:30,0.458
2025-05-30 15:41:32,0.458
2025-05-30 15:41:34,0.457
2025-05-30 15:41:36,0.457
2025-05-30 15:41:38,0.457
2025-05-30 15:41:40,0.457
2025-05-30 15:41:42,0.457
2025-05-30 15:41:44,0.457
2025-05-30 15:41:46,0.456
2025-05-30 15:41:48,0.457
2025-05-30 15:41:50,0.458
2025-05-30 15:41:52,0.459
2025-05-30 15:41:54,0.460
2025-05-30 15:41:56,0.461
2025-05-30 15:41:58,0.462
2025-05-30 15:42:00,0.463
2025-05-30 15:42:02,0.465
2025-05-30 15:42:04,0.466
2025-05-30 15:42:06,0.466
2025-05-30 15:42:08,0.467
2025-05-30 15:42:10,0.468
2025-05-30 15:42:12,0.468
2025-05-30 15:42:14,0.467
2025-05-30 15:42:16,0.467
2025-05-30 15:42:18,0.467
2025-05-30 15:42:20,0.466
2025-05-30 15:42:22,0.467
2025-05-30 15:42:24,0.467
2025-05-30 15:42:26,0.467
2025-05-30 15:42:28,0.467
2025-05-30 15:42:30,0.467
2025-05-30 15:42:32,0.467
2025-05-30 15:42:34,0.466
2025-05-30 15:42:36,0.466
2025-05-30 15:42:38,0.466
2025-05-30 15:42:40,0.466
2025-05-30 15:42:42,0.467
2025-05-30 15:42:44,0.467
2025-05-30 15:42:46,0.467
2025-05-30 15:42:48,0.467
2025-05-30 15:42:50,0.467
2025-05-30 15:42:52,0.467
2025-05-30 15:42:54,0.468
2025-05-30 15:42:56,0.468
2025-05-30 15:42:58,0.468
2025-05-30 15:43:00,0.469
2025-05-30 15:43:02,0.470
2025-05-30 15:43:04,0.472
2025-05-30 15:43:06,0.472
2025-05-30 15:43:08,0.473
2025-05-30 15:43:10,0.473
2025-05-30 15:43:12,0.475
2025-05-30 15:43:14,0.475
2025-05-30 15:43:16,0.474
2025-05-30 15:43:18,0.474
2025-05-30 15:43:20,0.474
2025-05-30 15:43:22,0.474
2025-05-30 15:43:24,0.474
2025-05-30 15:43:26,0.474
2025-05-30 15:43:28,0.474
2025-05-30 15:43:30,0.475
2025-05-30 15:43:32,0.476
2025-05-30 15:43:34,0.475
2025-05-30 15:43:36,0.478
2025-05-30 15:43:38,0.478
2025-05-30 15:43:40,0.479
2025-05-30 15:43:42,0.480
2025-05-30 15:43:44,0.480
2025-05-30 15:43:46,0.479
2025-05-30 15:43:48,0.480
2025-05-30 15:43:50,0.482
2025-05-30 15:43:52,0.482
2025-05-30 15:43:54,0.482
2025-05-30 15:43:56,0.482
2025-05-30 15:43:58,0.482
2025-05-30 15:44:00,0.482
2025-05-30 15:44:02,0.482
2025-05-30 15:44:04,0.483
2025-05-30 15:44:06,0.482
2025-05-30 15:44:08,0.484
2025-05-30 15:44:10,0.485
2025-05-30 15:44:12,0.485
2025-05-30 15:44:14,0.485
2025-05-30 15:44:16,0.485
2025-05-30 15:44:18,0.485
2025-05-30 15:44:20,0.485
2025-05-30 15:44:22,0.485
2025-05-30 15:44:24,0.486
2025-05-30 15:44:26,0.486
2025-05-30 15:44:28,0.486
2025-05-30 15:44:30,0.485
2025-05-30 15:44:32,0.485
2025-05-30 15:44:34,0.485
2025-05-30 15:44:36,0.485
2025-05-30 15:44:38,0.485
2025-05-30 15:44:40,0.485
