IDS,Dataset,Metrics,Runtime,Comment
Snort - LightSPD Max-Detect,CTU-13,"{'FPR': 0.0, 'FNR': 0.95, 'DR': 0.05, 'FDR': 0.02, 'ACCURACY': 0.98, 'PRECISION': 0.98, 'F_SCORE': 0.1, 'UNASSIGNED_ALERTS_RATIO': 0.71}",944.388803,TP 23319, FP 537, TN 19531464, FN 421380, Unassigned: 22427 of 31546
Snort - LightSPD Max-Detect,UNSW-NB15,"{'FPR': 0.1, 'FNR': 0.36, 'DR': 0.64, 'FDR': 0.51, 'ACCURACY': 0.87, 'PRECISION': 0.49, 'F_SCORE': 0.56, 'UNASSIGNED_ALERTS_RATIO': 0.11}",1838.696965,TP 206983, FP 217679, TN 2001085, FN 114300, Unassigned: 32438 of 297611
Snort - LightSPD Max-Detect,CIC-IDS2017,"{'FPR': 0.07, 'FNR': 0.39, 'DR': 0.61, 'FDR': 0.31, 'ACCURACY': 0.87, 'PRECISION': 0.69, 'F_SCORE': 0.65, 'UNASSIGNED_ALERTS_RATIO': 0.08}",3495.126563,TP 338510, FP 148729, TN 2124368, FN 219136, Unassigned: 25668 of 317597
Snort - All Rules,CTU-13,"{'FPR': 0.0, 'FNR': 0.95, 'DR': 0.05, 'FDR': 0.11, 'ACCURACY': 0.98, 'PRECISION': 0.89, 'F_SCORE': 0.09, 'UNASSIGNED_ALERTS_RATIO': 0.84}",2059.437771,TP 24192, FP 2997, TN 19529004, FN 420507, Unassigned: 67074 of 79519
Snort - All Rules,UNSW-NB15,"{'FPR': 0.29, 'FNR': 0.34, 'DR': 0.66, 'FDR': 0.75, 'ACCURACY': 0.71, 'PRECISION': 0.25, 'F_SCORE': 0.36, 'UNASSIGNED_ALERTS_RATIO': 0.09}",1884.314046,TP 212081, FP 638687, TN 1580077, FN 109202, Unassigned: 66512 of 736208
Snort - All Rules,CIC-IDS2017,"{'FPR': 0.1, 'FNR': 0.38, 'DR': 0.62, 'FDR': 0.39, 'ACCURACY': 0.85, 'PRECISION': 0.61, 'F_SCORE': 0.61, 'UNASSIGNED_ALERTS_RATIO': 0.07}",1946.272792,TP 346412, FP 217576, TN 2055521, FN 211234, Unassigned: 25731 of 389016
Snort - Max-Detect + Community,CTU-13,"{'FPR': 0.0, 'FNR': 0.97, 'DR': 0.03, 'FDR': 0.01, 'ACCURACY': 0.98, 'PRECISION': 0.99, 'F_SCORE': 0.06, 'UNASSIGNED_ALERTS_RATIO': 0.78}",3334.393435,TP 11135, FP 66, TN 19531935, FN 433564, Unassigned: 20382 of 26199
Snort - Max-Detect + Community,UNSW-NB15,"{'FPR': 0.1, 'FNR': 0.92, 'DR': 0.08, 'FDR': 0.9, 'ACCURACY': 0.8, 'PRECISION': 0.1, 'F_SCORE': 0.09, 'UNASSIGNED_ALERTS_RATIO': 0.08}",2056.224373,TP 24500, FP 215039, TN 2003725, FN 296783, Unassigned: 18722 of 247234
Snort - Max-Detect + Community,CIC-IDS2017,"{'FPR': 0.04, 'FNR': 0.43, 'DR': 0.57, 'FDR': 0.22, 'ACCURACY': 0.88, 'PRECISION': 0.78, 'F_SCORE': 0.66, 'UNASSIGNED_ALERTS_RATIO': 0.09}",4202.313854,TP 316556, FP 91025, TN 2182072, FN 241090, Unassigned: 22453 of 239026
Snort All + Suricata All,CTU-13,,,,,,,,,,
Snort All + Suricata All,UNSW-NB15,,,,,,,,,,
Snort All + Suricata All,CIC-IDS2017,,,,,,,,,,
Suricata et-open+ Suricata abuse.ch,CTU-13,,,,,,,,,,
Suricata et-open+ Suricata abuse.ch,UNSW-NB15,,,,,,,,,,
Suricata et-open+ Suricata abuse.ch,CIC-IDS2017,,,,,,,,,,
