IDS,Dataset,Metrics,Runtime,Comment
Snort - LightSPD Max-Detect,UNSW-NB15,"{'FPR': 0.05, 'FNR': 0.6, 'DR': 0.4, 'FDR': 0.12, 'ACCURACY': 0.7, 'PRECISION': 0.88, 'F_SCORE': 0.55, 'UNASSIGNED_ALERTS_RATIO': 0.63}",8.85,TP 1945, FP 265, TN 5281, FN 2870, Unassigned: 2066 of 3265
Snort - LightSPD Max-Detect,CIC-IDS2017,"{'FPR': 0.04, 'FNR': 0.79, 'DR': 0.21, 'FDR': 0.13, 'ACCURACY': 0.55, 'PRECISION': 0.87, 'F_SCORE': 0.34, 'UNASSIGNED_ALERTS_RATIO': 0.63}",9.29,TP 1152, FP 179, TN 4367, FN 4418, Unassigned: 1770 of 2808
Snort - All,CTU-13,"{'FPR': 0.0, 'FNR': 0.95, 'DR': 0.05, 'FDR': 0.0, 'ACCURACY': 0.58, 'PRECISION': 1.0, 'F_SCORE': 0.1, 'UNASSIGNED_ALERTS_RATIO': 0.29}",7.64,TP 487, FP 0, TN 12405, FN 9388, Unassigned: 169 of 575
Snort - All,UNSW-NB15,"{'FPR': 0.14, 'FNR': 0.59, 'DR': 0.41, 'FDR': 0.28, 'ACCURACY': 0.65, 'PRECISION': 0.72, 'F_SCORE': 0.52, 'UNASSIGNED_ALERTS_RATIO': 0.55}",9.21,TP 1958, FP 771, TN 4775, FN 2857, Unassigned: 2110 of 3828
Snort - All,CIC-IDS2017,"{'FPR': 0.07, 'FNR': 0.78, 'DR': 0.22, 'FDR': 0.2, 'ACCURACY': 0.54, 'PRECISION': 0.8, 'F_SCORE': 0.35, 'UNASSIGNED_ALERTS_RATIO': 0.59}",9.81,TP 1232, FP 317, TN 4229, FN 4338, Unassigned: 1781 of 3036
Slips - Signature-based,CTU-13,"{'FPR': 0.0, 'FNR': 0.97, 'DR': 0.03, 'FDR': 0.0, 'ACCURACY': 0.57, 'PRECISION': 1.0, 'F_SCORE': 0.06, 'UNASSIGNED_ALERTS_RATIO': 0.59}",6669,TP 250, FP 1, TN 12404, FN 9625, Unassigned: 354 of 605
Slips - Signature-based,UNSW-NB15,"{'FPR': 0.22, 'FNR': 0.95, 'DR': 0.05, 'FDR': 0.84, 'ACCURACY': 0.44, 'PRECISION': 0.16, 'F_SCORE': 0.08, 'UNASSIGNED_ALERTS_RATIO': 0.58}",11593.8,TP 238, FP 1221, TN 4325, FN 4577, Unassigned: 1959 of 3405
Slips - Signature-based,CIC-IDS2017,"{'FPR': 0.37, 'FNR': 0.47, 'DR': 0.53, 'FDR': 0.36, 'ACCURACY': 0.58, 'PRECISION': 0.64, 'F_SCORE': 0.58, 'UNASSIGNED_ALERTS_RATIO': 0.36}",3600,TP 2970, FP 1661, TN 2885, FN 2600, Unassigned: 2345 of 6598
Slips - ML-based,CTU-13,"{'FPR': 0.0, 'FNR': 1.0, 'DR': 0.0, 'FDR': 0.0, 'ACCURACY': 0.56, 'PRECISION': 1.0, 'F_SCORE': 0.0, 'UNASSIGNED_ALERTS_RATIO': 0.0}",3079.8,TP 35, FP 0, TN 12405, FN 9840, Unassigned: 0 of 35
Slips - ML-based,UNSW-NB15,"{'FPR': 0.0, 'FNR': 1.0, 'DR': 0.0, 'FDR': 0.44, 'ACCURACY': 0.54, 'PRECISION': 0.56, 'F_SCORE': 0.0, 'UNASSIGNED_ALERTS_RATIO': 0.0}",409.4,TP 19, FP 15, TN 5531, FN 4796, Unassigned: 0 of 34
Slips - ML-based,CIC-IDS2017,"{'FPR': 0.0, 'FNR': 1.0, 'DR': 0.0, 'FDR': 0.95, 'ACCURACY': 0.45, 'PRECISION': 0.05, 'F_SCORE': 0.0, 'UNASSIGNED_ALERTS_RATIO': 0.27}",3636,TP 1, FP 21, TN 4525, FN 5569, Unassigned: 8 of 30
Slips - All Modules,CTU-13,"{'FPR': 0.0, 'FNR': 0.97, 'DR': 0.03, 'FDR': 0.0, 'ACCURACY': 0.57, 'PRECISION': 1.0, 'F_SCORE': 0.06, 'UNASSIGNED_ALERTS_RATIO': 0.55}",9726,TP 284, FP 1, TN 12404, FN 9591, Unassigned: 354 of 639
Slips - All Modules,UNSW-NB15,"{'FPR': 0.22, 'FNR': 0.95, 'DR': 0.05, 'FDR': 0.83, 'ACCURACY': 0.44, 'PRECISION': 0.17, 'F_SCORE': 0.08, 'UNASSIGNED_ALERTS_RATIO': 0.57}",17741.4,TP 257, FP 1236, TN 4310, FN 4558, Unassigned: 1959 of 3439
Slips - All Modules,CIC-IDS2017,"{'FPR': 0.37, 'FNR': 0.47, 'DR': 0.53, 'FDR': 0.36, 'ACCURACY': 0.58, 'PRECISION': 0.64, 'F_SCORE': 0.58, 'UNASSIGNED_ALERTS_RATIO': 0.35}",3595.2,TP 2970, FP 1682, TN 2864, FN 2600, Unassigned: 2352 of 6626
Snort - Max-Detect + Community,CTU-13,"{'FPR': 0.0, 'FNR': 0.98, 'DR': 0.02, 'FDR': 0.0, 'ACCURACY': 0.56, 'PRECISION': 1.0, 'F_SCORE': 0.04, 'UNASSIGNED_ALERTS_RATIO': 0.21}",7.06,TP 162, FP 0, TN 12405, FN 9713, Unassigned: 42 of 204
Snort - Max-Detect + Community,UNSW-NB15,"{'FPR': 0.05, 'FNR': 0.95, 'DR': 0.05, 'FDR': 0.54, 'ACCURACY': 0.53, 'PRECISION': 0.46, 'F_SCORE': 0.09, 'UNASSIGNED_ALERTS_RATIO': 0.06}",10.04,TP 221, FP 262, TN 5284, FN 4594, Unassigned: 30 of 494
Snort - Max-Detect + Community,CIC-IDS2017,"{'FPR': 0.03, 'FNR': 0.79, 'DR': 0.21, 'FDR': 0.11, 'ACCURACY': 0.55, 'PRECISION': 0.89, 'F_SCORE': 0.34, 'UNASSIGNED_ALERTS_RATIO': 0.64}",10.06,TP 1149, FP 135, TN 4411, FN 4421, Unassigned: 1761 of 2753
Suricata et-open+ Suricata abuse.ch,CTU-13,"{'FPR': 0.0, 'FNR': 0.96, 'DR': 0.04, 'FDR': 0.0, 'ACCURACY': 0.58, 'PRECISION': 1.0, 'F_SCORE': 0.08, 'UNASSIGNED_ALERTS_RATIO': 0.39}",7.95,TP 424, FP 0, TN 12405, FN 9451, Unassigned: 274 of 698
Suricata et-open+ Suricata abuse.ch,UNSW-NB15,"{'FPR': 0.0, 'FNR': 1.0, 'DR': 0.0, 'FDR': 0.17, 'ACCURACY': 0.54, 'PRECISION': 0.83, 'F_SCORE': 0.0, 'UNASSIGNED_ALERTS_RATIO': 0.57}",10.20,TP 19, FP 4, TN 5542, FN 4796, Unassigned: 30 of 53
Suricata et-open+ Suricata abuse.ch,CIC-IDS2017,"{'FPR': 0.19, 'FNR': 0.75, 'DR': 0.25, 'FDR': 0.38, 'ACCURACY': 0.5, 'PRECISION': 0.62, 'F_SCORE': 0.36, 'UNASSIGNED_ALERTS_RATIO': 0.66}",10.72,TP 1396, FP 842, TN 3704, FN 4174, Unassigned: 3610 of 5471
Slips - Signature + Slips ML,CTU-13,"{'FPR': 0.0, 'FNR': 0.99, 'DR': 0.01, 'FDR': 0.0, 'ACCURACY': 0.56, 'PRECISION': 1.0, 'F_SCORE': 0.01, 'UNASSIGNED_ALERTS_RATIO': 0.0}",4834,TP 30, FP 0, TN 12405, FN 9840, Unassigned: 0 of 30
Slips - Signature + Slips ML,UNSW-NB15,"{'FPR': 0.0, 'FNR': 0.99, 'DR': 0.04, 'FDR': 0.43, 'ACCURACY': 0.58, 'PRECISION': 0.57, 'F_SCORE': 0.01, 'UNASSIGNED_ALERTS_RATIO': 0.0}",9120,TP 12, FP 9, TN 5531, FN 4796, Unassigned: 0 of 21
Slips - Signature + Slips ML,CIC-IDS2017,"{'FPR': 0.0, 'FNR': 0.99, 'DR': 0.01, 'FDR': 0.94, 'ACCURACY': 0.44, 'PRECISION': 0.05, 'F_SCORE': 0.0, 'UNASSIGNED_ALERTS_RATIO': 0.29}",6380,TP 1, FP 18, TN 4525, FN 5569, Unassigned: 8 of 27
Snort All + Suricata All,CTU-13,"{'FPR': 0.0, 'FNR': 0.98, 'DR': 0.02, 'FDR': 0.0, 'ACCURACY': 0.56, 'PRECISION': 1.0, 'F_SCORE': 0.04, 'UNASSIGNED_ALERTS_RATIO': 0.21}",13.98,TP 176, FP 0, TN 12405, FN 9699, Unassigned: 39 of 190
Snort All + Suricata All,UNSW-NB15,"{'FPR': 0.0, 'FNR': 0.99, 'DR': 0.01, 'FDR': 0.46, 'ACCURACY': 0.54, 'PRECISION': 0.54, 'F_SCORE': 0.02, 'UNASSIGNED_ALERTS_RATIO': 0.16}",15.06,TP 26, FP 22, TN 5524, FN 4789, Unassigned: 9 of 55
Snort All + Suricata All,CIC-IDS2017,"{'FPR': 0.01, 'FNR': 0.92, 'DR': 0.08, 'FDR': 0.1, 'ACCURACY': 0.49, 'PRECISION': 0.9, 'F_SCORE': 0.15, 'UNASSIGNED_ALERTS_RATIO': 0.5}",16.56,TP 464, FP 51, TN 4495, FN 5106, Unassigned: 384 of 775
Slips - All + Suricata All,CTU-13,"{'FPR': 0.0, 'FNR': 1.0, 'DR': 0.0, 'FDR': 0.0, 'ACCURACY': 0.56, 'PRECISION': 1.0, 'F_SCORE': 0.0, 'UNASSIGNED_ALERTS_RATIO': 0.3}",6518.4,TP 35, FP 0, TN 12405, FN 9840, Unassigned: 15 of 50
Slips - All + Suricata All,UNSW-NB15,"{'FPR': 0.0, 'FNR': 1.0, 'DR': 0.0, 'FDR': 0.28, 'ACCURACY': 0.54, 'PRECISION': 0.72, 'F_SCORE': 0.0, 'UNASSIGNED_ALERTS_RATIO': 0.36}",13752,TP 13, FP 5, TN 5541, FN 4802, Unassigned: 10 of 28
Slips - All + Suricata All,CIC-IDS2017,"{'FPR': 0.02, 'FNR': 0.92, 'DR': 0.08, 'FDR': 0.17, 'ACCURACY': 0.48, 'PRECISION': 0.83, 'F_SCORE': 0.15, 'UNASSIGNED_ALERTS_RATIO': 0.35}",3610.2,TP 437, FP 88, TN 4458, FN 5133, Unassigned: 240 of 680
Slips - All + Snort All,CTU-13,"{'FPR': 0.0, 'FNR': 1.0, 'DR': 0.0, 'FDR': 0.0, 'ACCURACY': 0.56, 'PRECISION': 1.0, 'F_SCORE': 0.0, 'UNASSIGNED_ALERTS_RATIO': 0.06}",6489.6,TP 16, FP 0, TN 12405, FN 9859, Unassigned: 1 of 17
Slips - All + Snort All,UNSW-NB15,"{'FPR': 0.03, 'FNR': 0.98, 'DR': 0.02, 'FDR': 0.69, 'ACCURACY': 0.53, 'PRECISION': 0.31, 'F_SCORE': 0.04, 'UNASSIGNED_ALERTS_RATIO': 0.09}",11668.2,TP 73, FP 159, TN 5387, FN 4742, Unassigned: 22 of 254
Slips - All + Snort All,CIC-IDS2017,"{'FPR': 0.01, 'FNR': 0.9, 'DR': 0.1, 'FDR': 0.05, 'ACCURACY': 0.5, 'PRECISION': 0.95, 'F_SCORE': 0.18, 'UNASSIGNED_ALERTS_RATIO': 0.55}",3615,TP 557, FP 30, TN 4516, FN 5013, Unassigned: 546 of 992
Slips - All + Suricata All + Snort All,CTU-13,"{'FPR': 0.0, 'FNR': 0.98, 'DR': 0.02, 'FDR': 0.0, 'ACCURACY': 0.57, 'PRECISION': 1.0, 'F_SCORE': 0.04, 'UNASSIGNED_ALERTS_RATIO': 0.23}",6405.6,TP 212, FP 0, TN 12405, FN 9663, Unassigned: 55 of 242
Slips - All + Suricata All + Snort All,UNSW-NB15,"{'FPR': 0.03, 'FNR': 0.98, 'DR': 0.02, 'FDR': 0.66, 'ACCURACY': 0.53, 'PRECISION': 0.34, 'F_SCORE': 0.04, 'UNASSIGNED_ALERTS_RATIO': 0.08}",11737.2,TP 94, FP 180, TN 5366, FN 4721, Unassigned: 23 of 295
Slips - All + Suricata All + Snort All,CIC-IDS2017,"{'FPR': 0.04, 'FNR': 0.84, 'DR': 0.16, 'FDR': 0.17, 'ACCURACY': 0.52, 'PRECISION': 0.83, 'F_SCORE': 0.27, 'UNASSIGNED_ALERTS_RATIO': 0.5}",3618,TP 890, FP 182, TN 4364, FN 4680, Unassigned: 870 of 1739
